Model;SizeOriginal;VertOriginal;EdgesOriginal;PolyOriginal;SizeCompressed;CL;QP;SizeDecompressed;VertDecompressed;EdgesDecompressed;PolyDecompressed;compressionRatio;VertLoss;EdgesLoss;PolyLoss
130206_sf.obj;3408385;33449;100341;66894;50860;10;13;2318872;33449;100341;66894;67.015;0;0;0
131969_sf.obj;2447898;23616;70842;47228;25992;10;13;1601401;23616;70842;47228;94.1789;0;0;0
136024_sf.obj;2194555;21874;65616;43744;35836;10;13;1486365;21874;65616;43744;61.2388;0;0;0
190698_sf.obj;5703340;55488;166458;110972;82156;10;13;3976423;55488;166458;110972;69.4209;0;0;0
200081_sf.obj;12375281;118948;356838;237892;111103;10;13;8730091;118948;356838;237892;111.386;0;0;0
203289_sf.obj;17490347;165244;495726;330484;150917;10;13;12092380;165244;495726;330484;115.894;0;0;0
230923_sf.obj;8068117;79220;237654;158436;115903;10;13;5640189;79220;237654;158436;69.6109;0;0;0
285607_sf.obj;9357545;90777;272325;181550;87231;10;13;6438710;90777;272325;181550;107.273;0;0;0
293987_sf.obj;5305368;51912;155730;103820;78453;10;13;3737475;51912;155730;103820;67.6248;0;0;0
59333_sf.obj;5201813;50941;152817;101878;78613;10;13;3575103;50941;152817;101878;66.1699;0;0;0
75147_sf.obj;6485057;63991;191967;127978;92197;10;13;4585163;63991;191967;127978;70.3391;0;0;0
78671_sf.obj;18037060;169427;508275;338850;146521;10;13;12516226;169427;508275;338850;123.102;0;0;0
87151_sf.obj;12703260;122376;367122;244748;111024;10;13;8900009;122376;367122;244748;114.419;0;0;0
93497_sf.obj;20931531;196431;589287;392858;169964;10;13;14771471;196431;589287;392858;123.153;0;0;0
airplane1.obj;511185;5400;16194;10796;10488;10;13;341718;5400;16194;10796;48.74;0;0;0
airplane2.obj;10323626;95180;285534;190356;117548;10;13;6658304;95180;285534;190356;87.8248;0;0;0
airplane3.obj;9315945;86122;258360;172240;96070;10;13;6004869;86122;258360;172240;96.9704;0;0;0
angle.obj;6848076;67468;202398;134932;81841;10;13;4818728;67468;202398;134932;83.6754;0;0;0
armchair.obj;1193428;12972;38910;25940;28354;10;13;873683;12972;38910;25940;42.0903;0;0;0
bimba.obj;1019462;10797;32385;21590;24597;10;13;696269;10797;32385;21590;41.4466;0;0;0
bird.obj;779801;7586;22752;15168;17088;10;13;480212;7586;22752;15168;45.6344;0;0;0
blade.obj;1568336;15974;47916;31944;35126;10;13;1062534;15974;47916;31944;44.6489;0;0;0
bone.obj;138616;1513;4533;3022;4329;10;13;88602;1513;4533;3022;32.0203;0;0;0
buddha.obj;7269571;70734;212196;141464;87005;10;13;5025489;70734;212196;141464;83.5535;0;0;0
bulldog.obj;6027870;58885;176649;117766;76505;10;13;4158751;58885;176649;117766;78.7905;0;0;0
bumpy_sphere.obj;577901;5879;17631;11754;19241;10;13;372807;5879;17631;11754;30.0349;0;0;0
bunny.obj;1041464;11247;33735;22490;26299;10;13;709316;11247;33735;22490;39.6009;0;0;0
bunny2.obj;3520456;34817;104445;69630;63722;10;13;2375019;34817;104445;69630;55.2471;0;0;0
bust2.obj;9771918;92894;278676;185784;109040;10;13;6494016;92894;278676;185784;89.6177;0;0;0
bust3.obj;9768136;93070;279204;186136;111077;10;13;6503979;93070;279204;186136;87.9402;0;0;0
bust4.obj;2752321;26278;78828;52552;55570;10;13;1787620;26278;78828;52552;49.5289;0;0;0
bust5.obj;5587360;52644;157926;105284;68554;10;13;3642595;52644;157926;105284;81.503;0;0;0
bust6.obj;4202774;41232;123690;82460;51203;10;13;2949703;41232;123690;82460;82.0806;0;0;0
buste.obj;1678588;17341;52017;34678;33313;10;13;1156919;17341;52017;34678;50.3884;0;0;0
camile_hand.obj;1724670;17983;53943;35962;38893;10;13;1312764;17983;53943;35962;44.344;0;0;0
camille_hand.obj;1582111;16565;49689;33126;33727;10;13;1204159;16565;49689;33126;46.9093;0;0;0
cat.obj;32984652;294677;884025;589350;224105;10;13;21879477;294677;884025;589350;147.184;0;0;0
chinese_dragon.obj;2725841;26608;79818;53212;58282;10;13;1927052;26608;79818;53212;46.7699;0;0;0
chinese_lion.obj;2380625;25194;75576;50384;52941;10;13;1820665;25194;75576;50384;44.9675;0;0;0
colonel.obj;6774134;66557;199665;133110;82055;10;13;4730810;66557;199665;133110;82.556;0;0;0
component.obj;5093904;47897;143685;95790;59203;10;13;3312136;47897;143685;95790;86.0413;0;0;0
coverrear.obj;886590;10767;32295;21530;24081;10;13;711185;10767;32295;21530;36.817;0;0;0
david.obj;2398667;25434;76296;50864;67335;10;13;1721660;25434;76296;50864;35.6229;0;0;0
deformed_armadillo.obj;2061997;21823;65463;43642;46370;10;13;1514630;21823;65463;43642;44.4683;0;0;0
devil.obj;1377654;13250;39744;26496;30085;10;13;866694;13250;39744;26496;45.7921;0;0;0
dilo.obj;2875901;26675;80019;53346;48477;10;13;1818322;26675;80019;53346;59.3251;0;0;0
dog1.obj;9389578;87921;263757;175838;111620;10;13;6126679;87921;263757;175838;84.1209;0;0;0
duck.obj;111296;1147;3435;2290;4640;10;13;67197;1147;3435;2290;23.9862;0;0;0
duck2.obj;894582;9640;28914;19276;29145;10;13;655310;9640;28914;19276;30.6942;0;0;0
fish.obj;3264638;31176;93522;62348;42075;10;13;2129744;31176;93522;62348;77.5909;0;0;0
foot.obj;1120516;10958;32868;21912;23849;10;13;711202;10958;32868;21912;46.9838;0;0;0
fox.obj;6166062;60238;180708;120472;72619;10;13;4247665;60238;180708;120472;84.9098;0;0;0
gargoyle.obj;10039482;100002;300000;200000;249492;10;13;6946056;100002;300000;200000;40.2397;0;0;0
goldfish.obj;23669421;221881;665637;443758;187745;10;13;16581646;221881;665637;443758;126.072;0;0;0
hand.obj;562085;5482;16440;10960;16856;10;13;345952;5482;16440;10960;33.3463;0;0;0
hand1.obj;8741826;81718;245148;163432;97381;10;13;5689860;81718;245148;163432;89.7693;0;0;0
hand3.obj;8779424;82175;246519;164346;95669;10;13;5706913;82175;246519;164346;91.7687;0;0;0
hand5.obj;8546977;80149;240441;160294;96578;10;13;5562990;80149;240441;160294;88.4982;0;0;0
hare.obj;10379096;100705;302109;201406;96568;10;13;7143908;100705;302109;201406;107.48;0;0;0
